epoch,lr,train_loss,val_loss,f_score
1,0.0009987832431047822,1.1734330300241709,,
2,0.0009951389003364144,0.8552367147058249,,
3,0.000989084726566536,0.668249100446701,,
4,0.0009806502171211904,0.5529645197093487,,
5,0.0009698764640825615,0.4839263530448079,,
6,0.0009568159560924792,0.44413517229259014,,
7,0.0009415323226330341,0.4178998190909624,,
8,0.0009241000240301347,0.3981725871562958,,
9,0.0009046039886902862,0.37582814786583185,,
10,0.0008831391993379294,0.3636622317135334,,
11,0.0008598102302691562,0.35766514390707016,,
12,0.0008347307378762497,0.3344941549003124,,
13,0.0008080229069251663,0.31837646570056677,,
14,0.000779816855283638,0.31824735924601555,,
15,0.0007502499999999999,0.31403973791748285,,
16,0.0007194663878211441,0.29885115940123796,,
17,0.0006876159934112479,0.2907771412283182,,
18,0.0006548539886902862,0.28673658706247807,,
19,0.000621339986852034,0.27295145066455007,,
20,0.0005872372647446317,0.26359628792852163,,
21,0.0005527119674021929,0.2623642752878368,,
22,0.0005179322986028993,0.2552434210665524,,
23,0.0004830677013971009,0.2552140182815492,,
24,0.00044828803259780713,0.2424016259610653,,
25,0.0004137627352553683,0.2336903321556747,,
26,0.0003796600131479659,0.22779111983254552,,
27,0.0003461460113097138,0.22968873148784041,,
28,0.0003133840065887519,0.21643705992028117,,
29,0.0002815336121788557,0.220930983312428,,
30,0.00025075000000000005,0.2170386202633381,,
31,0.00022118314471636195,0.21548771066591144,,
32,0.00019297709307483364,0.20684842905029655,,
33,0.00016626926212375025,0.20240412326529622,,
34,0.00014118976973084369,0.20380064751952887,,
35,0.00011786080066207051,0.19984452240169048,,
36,9.639601130971378e-05,0.19794076215475798,,
37,7.689997596986521e-05,0.19787945644930005,,
38,5.9467677366966064e-05,0.20059881266206503,,
39,4.418404390752091e-05,0.19202133594080806,,
40,3.112353591743879e-05,0.19402589136734605,,
41,2.034978287880982e-05,0.1905977944843471,,
42,1.1915273433464056e-05,0.19027366302907467,,
43,5.861099663585658e-06,0.18868971336632967,,
44,2.216756895217813e-06,0.18886852823197842,,
45,1e-06,0.19191635213792324,,
