epoch,lr,train_loss,val_loss,f_score
1,0.0009997535269026829,1.2491650316450331,1.2037769317626954,0.21716466759021355
2,0.0009990143508499217,0.9620005951987373,0.8862966775894165,0.4007654798290899
3,0.0009977832013192385,0.805055523360217,0.7811074614524841,0.4293978197075622
4,0.0009960612933065818,0.6948221745314421,0.6816025257110596,0.4896200386093221
5,0.0009938503261272714,0.6305692637408221,0.6185409426689148,0.5269940317500693
6,0.00099115248173898,0.5949859089321561,0.5980976700782776,0.531091023123649
7,0.0009879704225884043,0.5589404238594903,0.5597295999526978,0.5507436631299679
8,0.0009843072889837512,0.5372733054337678,0.5604616820812225,0.5603383022321546
9,0.000980166695995633,0.5192964010768466,0.5571473717689515,0.5485239873213207
10,0.0009755527298894294,0.5028291565400583,0.5469794809818268,0.5855000501931289
11,0.0009704699440926358,0.4920925674615083,0.5431206583976745,0.5654105801359394
12,0.0009649233547011817,0.47895697973392626,0.5273471295833587,0.6138272221578895
13,0.0009589184355291487,0.4690644718982555,0.5358866453170776,0.5698211468929161
14,0.000952461112706777,0.46579035012810316,0.5342962741851807,0.5950670240459017
15,0.00094555775883209,0.4529590065832491,0.5013935208320618,0.581710067925493
16,0.0009382151866819101,0.44879163636101616,0.49301943778991697,0.59921290641538
17,0.0009304406424884702,0.4363063551761486,0.508812141418457,0.5779565702852799
18,0.000922241798788257,0.42823142696309974,0.5018612921237946,0.5907731491476538
19,0.0009136267468501441,0.4216126004854838,0.4586594581604004,0.6773974245136012
20,0.0009046039886902867,0.41578284016361944,0.5090337991714478,0.6071214386486347
21,0.0008951824286816577,0.40326710762800994,0.48418101072311404,0.664717932551374
22,0.0008853713647665071,0.40434031243677493,0.45761314034461975,0.6569705579890508
23,0.0008751804792804149,0.3963060798468413,0.4685494303703308,0.6502964902901801
24,0.0008646198293969954,0.3843221874148757,0.48138336539268495,0.6297149120408385
25,0.0008536998372026807,0.3912059289437753,0.49648128151893617,0.6067028923395543
26,0.0008424312794113804,0.37287426546767904,0.4343158364295959,0.7027261973759753
27,0.0008308252767291644,0.3773686002801966,0.48813188076019287,0.6097983314423099
28,0.0008188932828794708,0.37053492334153915,0.47374686002731325,0.6685213522258612
29,0.0008066470732996621,0.36457103821966386,0.4763852834701538,0.6414690323922754
30,0.0007940987335200907,0.35594849122895134,0.5118946313858033,0.6112444971682889
31,0.0007812606472371396,0.3537230458524492,0.5050650179386139,0.6063161037222189
32,0.0007681454840920091,0.3511504210807659,0.47557407021522524,0.6400406060745636
33,0.0007547661871673109,0.3443086930999049,0.4870124876499176,0.6329701672549211
34,0.0007411359602138072,0.3328123445864077,0.462633353471756,0.6587319723828219
35,0.000727268254619904,0.323601190690641,0.5079179406166077,0.630594809191943
36,0.0007131767561367542,0.32622503572040135,0.48001939058303833,0.6365285964161734
37,0.0006988753713720732,0.3180006013976203,0.49315794706344607,0.6291840879888251
38,0.000684378214065997,0.3120257611627932,0.4961744785308838,0.6292103600628426
39,0.0006696995911625234,0.3162246523080049,0.4750781893730164,0.6439899606132053
40,0.0006548539886902865,0.3099280860688951,0.5049555599689484,0.6204026924428439
41,0.0006398560574665953,0.29620381748234786,0.4397197425365448,0.672578657630557
42,0.0006247205986388451,0.29982201479099413,0.547840416431427,0.5936619415933982
