epoch,lr,train_loss,val_loss,f_score
1,0.0009997535269026829,0.7527717175307097,0.7496045470237732,0.17559724652785297
2,0.0009990143508499217,0.6230549878544278,0.5978429675102234,0.4149515590133133
3,0.0009977832013192385,0.4903762252242477,0.4544582486152649,0.5726533089391187
4,0.0009960612933065818,0.380964622453407,0.3607570767402649,0.6100780927945678
5,0.0009938503261272714,0.3288910929803495,0.3356997430324554,0.6416913045999608
6,0.00099115248173898,0.2983740159758815,0.30367029309272764,0.670790001856024
7,0.0009879704225884043,0.2833202933823621,0.28956871628761294,0.687035250120075
8,0.0009843072889837512,0.2644491598561958,0.29493606090545654,0.6807937242234682
9,0.000980166695995633,0.24658123265813897,0.27682764530181886,0.6954810022137281
10,0.0009755527298894294,0.23774079812897575,0.2578020036220551,0.7136530904753603
11,0.0009704699440926358,0.22854227821032205,0.300622022151947,0.6771035179550764
12,0.0009649233547011817,0.23481739340005098,0.26163601875305176,0.7051601519812102
13,0.0009589184355291487,0.22223685516251457,0.255694243311882,0.7177214114527114
14,0.000952461112706777,0.2128504150443607,0.2595352530479431,0.7154471198346603
15,0.00094555775883209,0.20849693483776516,0.24353575110435485,0.7383566097249569
16,0.0009382151866819101,0.20442226749879341,0.24654244780540466,0.7310453338789079
17,0.0009304406424884702,0.19805190353481858,0.2588102251291275,0.7243531642881426
18,0.000922241798788257,0.20665247076087528,0.2427651345729828,0.7330950599563502
19,0.0009136267468501441,0.1939559749982975,0.2445875495672226,0.7307252090232611
20,0.0009046039886902867,0.18873409816512354,0.22919346988201142,0.748979542787736
21,0.0008951824286816577,0.17926371097564697,0.23254695832729338,0.7433069047385508
22,0.0008853713647665071,0.17806242130420827,0.2546577572822571,0.7203655749866013
23,0.0008751804792804149,0.17753391850877692,0.23633445799350739,0.7390149927492039
24,0.0008646198293969954,0.16795891688929665,0.24838409423828126,0.7283243107843362
25,0.0008536998372026807,0.17089626634562458,0.2348484367132187,0.7391066867034448
26,0.0008424312794113804,0.17376212665328272,0.2395063728094101,0.740090782131345
27,0.0008308252767291644,0.16793405926889843,0.24096123576164247,0.7357177667348713
28,0.0008188932828794708,0.1599695058884444,0.2406078815460205,0.7365604007655503
29,0.0008066470732996621,0.15681754190612723,0.24500230252742766,0.7344112013295786
30,0.0007940987335200907,0.15609151345712166,0.22469244301319122,0.7559600770041532
31,0.0007812606472371396,0.15187600806907373,0.2322496384382248,0.7545679740961402
32,0.0007681454840920091,0.15458838365696095,0.2490300267934799,0.7307711694471571
33,0.0007547661871673109,0.14882004895695933,0.23741374611854554,0.742282043831992
34,0.0007411359602138072,0.14219008110187673,0.22585674822330476,0.7542540837223005
35,0.000727268254619904,0.14327382737839664,0.2297927111387253,0.754266074204336
36,0.0007131767561367542,0.1392987318061016,0.23024980425834657,0.7487805826279356
37,0.0006988753713720732,0.14404892673095068,0.23560970723629,0.7428591629177621
38,0.000684378214065997,0.13910870171255535,0.22732923328876495,0.7524649205597737
39,0.0006696995911625234,0.14299064212375218,0.23041781187057495,0.7474505864458064
40,0.0006548539886902865,0.14226883622231307,0.2191004753112793,0.7596778943380867
41,0.0006398560574665953,0.1389861231048902,0.22598182857036592,0.7575327534199956
42,0.0006247205986388451,0.1340244776672787,0.23247867524623872,0.7440852749040107
43,0.0006094625490775733,0.13601747900247574,0.2286835014820099,0.7451906823893208
44,0.0005940969666355698,0.14203177668430186,0.250456714630127,0.7333445158452289
45,0.0005786390152875956,0.1359864663746622,0.23505705893039702,0.7372819466021743
46,0.0005631039501653703,0.1434364594795086,0.24462314546108246,0.7433828005397273
47,0.0005475071025025981,0.13242862539158928,0.23185423910617828,0.7428172016187142
48,0.0005318638645048923,0.12309039025395005,0.2272375375032425,0.7472448229644117
49,0.0005161896741595253,0.12836829628105517,0.24842876195907593,0.7352512401721123
50,0.0005005000000000002,0.13184389140870836,0.242967626452446,0.7404838842381363
