epoch,lr,train_loss,val_loss,f_score
1,0.0009997535269026829,1.348846678380613,1.3444000959396363,0.13734189553849543
2,0.0009990143508499217,0.9415511864202993,0.8777840495109558,0.19300348812554402
3,0.0009977832013192385,0.801750331013291,0.7602305173873901,0.2285107671568354
4,0.0009960612933065818,0.7208226565961484,0.7394256949424743,0.29314469028478535
5,0.0009938503261272714,0.660846643977695,0.637532651424408,0.35106339925745833
6,0.00099115248173898,0.601675600917251,0.6078646421432495,0.3931365146782159
7,0.0009879704225884043,0.5536408402301647,0.5478655457496643,0.471809461026926
8,0.0009843072889837512,0.5105612112416161,0.5013477683067322,0.495742437140509
9,0.000980166695995633,0.4809855553838942,0.48851388692855835,0.5110989491128738
10,0.0009755527298894294,0.4613356016300343,0.492797726392746,0.5055531104325569
11,0.0009704699440926358,0.438581543940085,0.4603670299053192,0.5283020212521616
12,0.0009649233547011817,0.4248855566536939,0.4538376808166504,0.5465681730337808
13,0.0009589184355291487,0.4107353499642125,0.4243281424045563,0.5642158796061933
14,0.000952461112706777,0.39391537728133025,0.4350492775440216,0.5563927602186418
15,0.00094555775883209,0.3896035540986944,0.4280856430530548,0.5605708819818771
16,0.0009382151866819101,0.37916794750425553,0.4081126570701599,0.5574342540778916
17,0.0009304406424884702,0.3694546244762562,0.4050225973129272,0.5684124353653668
18,0.000922241798788257,0.3560743674083992,0.3943389654159546,0.5870651750766297
19,0.0009136267468501441,0.35590502509364375,0.38524884581565855,0.6415862225395652
20,0.0009046039886902867,0.3508028973031927,0.41846516728401184,0.5813995327147906
21,0.0008951824286816577,0.34578518514279966,0.38522111177444457,0.6169044219536736
22,0.0008853713647665071,0.33833322922388714,0.392959326505661,0.5731729206914435
23,0.0008751804792804149,0.32847181845594337,0.3743050038814545,0.6067513534953816
24,0.0008646198293969954,0.31693206672315244,0.38166053891181945,0.6150839464778762
25,0.0008536998372026807,0.3188039682529591,0.36408963799476624,0.6431475224914154
26,0.0008424312794113804,0.3138901889324188,0.3902654588222504,0.5828221479365205
27,0.0008308252767291644,0.30892149828098436,0.35111614465713503,0.6766790110237253
28,0.0008188932828794708,0.30500398852207045,0.37863649129867555,0.6242533009538045
29,0.0008066470732996621,0.31267674212102536,0.3775548875331879,0.626700302163627
30,0.0007940987335200907,0.3029224243428972,0.37389562726020814,0.6180654953754978
31,0.0007812606472371396,0.2941411093429283,0.3849137365818024,0.5912178070039358
32,0.0007681454840920091,0.28942387413095544,0.3687917709350586,0.6488027077366717
33,0.0007547661871673109,0.28319355183177525,0.3677290201187134,0.6253678481719435
34,0.0007411359602138072,0.2745368944274055,0.33162822127342223,0.6774705737379145
35,0.000727268254619904,0.2721726993719737,0.3471938133239746,0.6564221832579115
36,0.0007131767561367542,0.2697088679781667,0.36256384253501894,0.6134029778250448
37,0.0006988753713720732,0.2677214018724583,0.3378507733345032,0.679341719019674
38,0.000684378214065997,0.2675725558289775,0.3492821753025055,0.6410522151532181
39,0.0006696995911625234,0.26675887405872345,0.3649787664413452,0.6375331785783436
40,0.0006548539886902865,0.2596162971523073,0.3772783041000366,0.5992126688073728
41,0.0006398560574665953,0.2497677356004715,0.3776267349720001,0.6230122970745783
42,0.0006247205986388451,0.2507250601494754,0.3239592432975769,0.6937163352614634
43,0.0006094625490775733,0.25179046282061823,0.36981181502342225,0.609761622390547
44,0.0005940969666355698,0.2495902649782322,0.3613462567329407,0.630206015798942
45,0.0005786390152875956,0.24358535475201076,0.3518810272216797,0.6431763897577002
46,0.0005631039501653703,0.23984304732746548,0.36031898856163025,0.6310679339692373
47,0.0005475071025025981,0.2361113727092743,0.36828418970108034,0.6152957836548363
48,0.0005318638645048923,0.23453326523303986,0.3403464794158936,0.6606870851557963
49,0.0005161896741595253,0.23526854647530449,0.3474260628223419,0.652835703429496
50,0.0005005000000000002,0.22764214486987502,0.351032030582428,0.6500326744101994
