epoch,lr,train_loss,val_loss,f_score
1,0.0009997535269026829,1.3795177484000172,1.1499826073646546,0.27449237874144145
2,0.0009990143508499217,0.9599869913525052,0.9038276672363281,0.3622296341151803
3,0.0009977832013192385,0.8153836539498082,0.8278543531894684,0.43072908308150604
4,0.0009960612933065818,0.7428090186030777,0.7242499113082885,0.4322962318863066
5,0.0009938503261272714,0.692149982408241,0.7048876881599426,0.4470596814293552
6,0.00099115248173898,0.6656143897109561,0.7232946574687957,0.4872829153508782
7,0.0009879704225884043,0.6397607227166494,0.6427947759628296,0.5317611086404656
8,0.0009843072889837512,0.618322836028205,0.65180002450943,0.46288882093484424
9,0.000980166695995633,0.5996315523430154,0.6175493657588959,0.5333540442205492
10,0.0009755527298894294,0.5880079655735581,0.6426790416240692,0.5435450045680212
11,0.0009704699440926358,0.5758048224228399,0.6717026352882385,0.48764255125889255
12,0.0009649233547011817,0.5696113534547664,0.6215366363525391,0.5103384663376048
13,0.0009589184355291487,0.5574163435785858,0.6013557553291321,0.5558876790624333
14,0.000952461112706777,0.5364595938611914,0.601002824306488,0.5603236758727524
15,0.00094555775883209,0.5353438070526829,0.5788250625133514,0.5703338625256863
16,0.0009382151866819101,0.525809692563834,0.5886740505695343,0.5055167733867014
17,0.0009304406424884702,0.5209569964143965,0.5481321305036545,0.5525451925855162
18,0.000922241798788257,0.510213213386359,0.6089170873165131,0.5489294183823356
19,0.0009136267468501441,0.5018225808938345,0.5688066422939301,0.5959049265927278
20,0.0009046039886902867,0.4863269627094269,0.571022292971611,0.6030917846710797
21,0.0008951824286816577,0.48182687549679365,0.593849641084671,0.5868810730485704
22,0.0008853713647665071,0.4810019036134084,0.5891713380813599,0.5750044866210079
23,0.0008751804792804149,0.4720623145500819,0.6261227071285248,0.5340870232275384
24,0.0008646198293969954,0.469967116912206,0.5712377220392227,0.596641891095433
25,0.0008536998372026807,0.46019598841667175,0.6252542406320571,0.5679262762647899
26,0.0008424312794113804,0.46968179444471997,0.5704534649848938,0.6168646830812825
27,0.0008308252767291644,0.44847904200907107,0.6184470087289811,0.5842597743980027
28,0.0008188932828794708,0.4398185991578632,0.5847038716077805,0.5862447637947052
29,0.0008066470732996621,0.4345120760025801,0.5603592783212662,0.6259841827928879
30,0.0007940987335200907,0.433108377787802,0.6472887575626374,0.5677271102115689
31,0.0007812606472371396,0.42752933833334184,0.6243733435869216,0.5910186345504457
32,0.0007681454840920091,0.4254434174961514,0.6049023628234863,0.5819799345973912
33,0.0007547661871673109,0.4198030404470585,0.6977793395519256,0.5704059022474814
34,0.0007411359602138072,0.41583575308322906,0.6665606617927551,0.5931021184201553
35,0.000727268254619904,0.40452958477867973,0.6270612597465515,0.5757149615217911
36,0.0007131767561367542,0.3963813124983399,0.6760681539773941,0.5890077790978957
37,0.0006988753713720732,0.4029737854445422,0.6180886954069138,0.6077426858978948
38,0.000684378214065997,0.3925794832132481,0.5763699471950531,0.5996560556034192
39,0.0006696995911625234,0.37911172376738655,0.7370465606451034,0.6067521626913612
